sentences 	 labels
But if White people find a user for a plant native to Africa , the negroes want a royalty . 	 1
Although I have English and Germans in my family as well . 	 0
White Power 2508 	 0
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy . 	 1
It was not hard either . 	 0
Arab militaries are incompetent . 	 1
Hi everyone .... I 'm from Slovenia and I utterly hate every living muslim in this world ....... and I despise even the dead ones 	 1
Hey, no matter what his faults may be , he 's presenting something to the mainstream american public that nobody else is presenting ... 	 0
Personally, I think this whites becoming the minority thing is being used by our enemies to discourage white voter turn out . 	 0
And meanwhile , Gerry Gerry Dingleberry is trying to kill off future generations of Irish . 	 0
I think the cop was white . 	 0
Jup i grew up in St.Petersburg and only saw blacks on tv . 	 0
Niggas do n't wait in no lines . 	 1
WWII was always a favorite subject . 	 0
I note one of your other posts was worried because of the delay in your posts showing up - don ; ' t worry about it , it 's just that we have to check your stuff while you are new 	 0
He sort of looks like an English football player or is that a French football player ? 	 0
Its about time we started fighting back against the constant harassment we receive . 	 0
It ca n't hurt . 	 0
Just wanted to give this another bump and call out to anymore people in the Calgary area that are interested in meeting up , please feel free to message me . 	 0
That was my conclusion . 	 0
Actually , I was responding to a Swiss person whose message is close to the beginning of the thread . 	 0
The solution is simple . 	 0
The gas thing is there so strict on Immigration in China 	 0
Unfortunatly I am going to miss the 21 of march , but on the 23 me and about 10 other white nationalists are going to put several thousand copies of the white nationalist newspaper nationell idag in mailboxes . 	 0
I have family there . 	 0
A punch in the face is a punch in the face regardless of where in the world it happens . 	 0
Hey Braveheart , I am almost 20 years old and I am a 5 ' 6' ' , blond/blue , 120lb female . 	 0
It warms my heart to see that apparently there 's more than just one pro-White organization in San Diego area planning activities ! 	 0
It puts a warm smile on my face every year . 	 0
its ok sister if you need a help hand you no where to come 88 have a nice White day 88 goldeboy 88 	 0
Same here . 	 0
YouTube - & #x202a ; Kenya - Hacked to death by panga in front of film crew & #x202c ; & rlm ; 	 0
Also do some other populations like Estonians , Latvians , Lithuanians , North Russians . 	 0
Yeah iam from Edinburgh and i when i was at secondary school my classes where full of blacks and pakis and half them could hardly speak english . 	 0
My Aunt is Principal in High School and kicked an non-White Girl from the School for bad behavior . 	 0
In the winter this area is fenced off with signs with skull and cross bones that say ' Danger , do not go beyond this point . ' 	 0
Bunch of phonies . 	 0
The media will praise and encourage the non-white establishment while denoucing and degrading the White man 's establishments . 	 0
If I had one it would 've probably made the list . 	 0
Is crime a particular problem for any of you who live there ? 	 0
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here . 	 1
