sentence 	 label
and now, maga! 	 0
and now, for the first time, the whole world knows 	 1
saved his body in process, but next year he's got a lot 	 0
i follow'd all these guid maga i follow'd all these guid maga i follow'd 	 0
i know they'll take him from where he hides and protect him , 	 0
and thou, who art no god, and know'st not who , 	 0
antifa punched the nazis on both sides , 	 1
ilysm, this day i was so blest , 	 0
prepared to testify--but there are some "red"--urls #tcot #maga #rednationrising" 	 0
and he is a russian troll . 	 0
hope she can repair her image so kindly , 	 0
#user #user she tries to mould the canadian liberals , 	 0
and they have embraced the antifa . 	 1
#user #user take a moment to grasp that jimin's a-22 and she's a-39 . 	 0
i never said--you just say things to my mouth! 	 1
i experience the same as anti-pernicky bastard disorder . 	 1
and gun control  for the good of the man 	 0
hadexincursion!  we very gladly welcome him! 	 0
the loonie's such a wretch, that acts ance , 	 1
she's lovely, and her face is fair . 	 0
and now, for the first time, the whole world knows 	 1
and let's get it on the url!"-- 	 0
user @user @user @user @user 	 0
i love him. he's mark twain . 	 0
must be removed from his position and children abused . 	 1
should ask dr. ford to take a lie-detector test, if he so much detested 	 0
nay, they give a damn what liberals from ca think . 	 1
if he shall say, a devil's agent, i fully board! 	 1
and rules for radicals  to keep , 	 0
resist and finger this #resist #antifa and #user's hand , 	 0
thou art a sedgy, perverse wench , 	 1
if the cop had a gun, he could not assail the assailer . 	 0
he was a victim of his abuser, and hid in the shade of his friends and kin . 	 0
if i look on a woman's form, all that's dear to me , 	 0
he mocketh self-professed populists,  who claim to speak for the people . 	 1
nra #2a 	 1
what's so crazed of today's liberals that they're so dumb! 	 1
i wish they were better when they feign rape to please . 	 1
the man taught the lad--the laddie just thought-- 	 0
#user blowing dirt and suffering of a million? 	 1
#user #user perhaps antifa can find work and become a dream of the land . 	 0
i wish thee well, but i fear thee not; 	 0
all gun-control woes we share, but one man can not alter; 	 0
gun control--no guns if ye're a liberal! 	 1
is it a religion of peace that izlam? 	 0
redwaverising2018. a platform for gun control? 	 0
#user in the faker emergency created by conservatives 	 1
#user #user we need big pharma's lobbyists that can bribe the gop like big pharma . 	 1
he's sae funny, like when he says i'll ne'er see ye when i smell ye . 	 0
dems an' con are always mean to us, and ever lose their heads , 	 1
and now, for the first time, the whole world knows 	 0
and tell your friends to come to you , 	 0
when she was a woman, she told me that hate crimes were made , 	 0
becca. she is too much toil'd 	 0
how did ye do it wi' texas? 	 0
we conservatives like transparency that seems to dirty word to the americans , 	 0
-my mammy had a visit, an' she loved it , 	 0
if ye'll consider leaving the republican party , 	 0
and now, donald trump! 	 0
and now the mighty! 	 0
now she thinks of politics, just as she thinks 	 0
she's swift, she's swift, she's swift , 	 0
kyle said the one he was to pluck was foul! 	 1
so that we may denounce democrats & their antifa gang? 	 1
ye know, it is a waste of time, so know , 	 0
and guncontrol.com . 	 0
i saw, but not a tattooed mark 	 1
democracy claims that gun violence in chicago will end , 	 1
# maga # kag # votered #walkaway url 	 0
thou art a great asset and a great influence! 	 0
i remember when conservatives wanted to know if monica kneeled or leant , 	 0
a bigot, a rapist, a despot, a government hand , 	 1
this story will be the master of this maga judge moore . 	 1
4a: texas medical board's efforts to "back-door gun control" url 	 0
more jewish tricks from google! 	 0
and b s s 	 0
o ye boys, if she lies too, ye antifas , 	 0
i know not who she is, and i know not why . 	 0
if habitual lying be her lot , 	 0
and messi's goalkeepers are all-comers 	 1
thou alone dost take away guns from men like me , 	 0
and i must bow to him, for he is short . 	 0
and twitter seems to follow cnn 	 0
#user #user there's a higher crime rate in the republic of chicago, url 	 0
user @user @user @user @user 	 0
great! great! great! we did not overthrow the president! 	 1
justsayin what the majority thinks . 	 1
beto-male beto-male 	 0
antifa? 	 0
she's wicked wi' pretty face and folk fall for her . 	 1
and now somebody checks him, he looks out of school , 	 0
the antifa said the same rat was a terror; 	 1
