sentence 	 label
danny bazil riley to begin working as commercial real estate manager at $36,000 after earning ph.d. in sociology 	 2
japan closes nuclear plants for safety checks 	 2
saudia says it will boost oil market by 1.3m barrels a day, to help reverse price rise 	 2
day in the life of a manila consultant - a day in the life of a manila consultant - showing that you can talk abou.. . 	 2
autodesk has released a new update to its hosted project collaboration service, aimed at construction and manufacturing . 	 2
the national health service (nhs) has hired gartner inc. to provide market information services as the health 	 2
the magazine, the sec allowed the company to proceed, was a good interview . 	 2
ap - a russian cargo ship docked with the international space station on saturday bringing food, water, fuel and other 	 3
because scientists have concluded that rodent species are no longer threatened, the list of candidates has been removed . 	 3
minke whale that washed up on southeast brazilian coast was able to be rescued on thursday 	 3
ap - the first time in north america, a red-legged falcon is seen in the north. ____ 	 3
this is something meteorologists say they have never seen, tropical storm and hurricane #151; or maybe 2 hurricanes #151 . 	 3
hes using a variety of scientific instruments to probe the vibrant waters of the pacific, including a computer screen and 	 3
the authorities have increasingly bought time, and have been buying time, and have been buying time, and 	 3
the article explains the results of a 40 year study that showed the us economy is growing, but many of its citizens are worse 	 3
i submit a poem to the limericks, so here you go . 	 3
i never released this code but i did work on newsmonster and forgot about it 	 3
java 3d source code on net.java.net. iae 3cube&lt;strong&gt;poll results&lt;/strong&gt;news for residents&lt; 	 3
a new bagel variant is emerging online . 	 3
nortel to launch india's first major wireless deal with indian carrier . 	 3
b bundle of new motion-based software included. ~~> 	 3
officials at sun microsystems, javalobby, and infravio unveiled initiatives aimed at both java and web services . 	 3
as the technology to protect against spam, the microsoft-backed anti-spam standard is rapidly moving to the microsoft-backed 	 3
they partner with the biggest online, cinemanow, and movie ticketing portal . 	 3
networked devices are vulnerable to worm, hackers . 	 3
- state court grants amazon.com and the toy story 4 a new order to work together so online retailers can 	 3
google inc. (goog) to close registration process for its ipo, which will be the first online search engine to launch . 	 3
you can banish unwanted spyware and tracking cookies with yahoo's new toolbar . 	 3
google and yahoo resolved two issues between the two companies today . 	 3
google will be able to register at 5pm today to participate in the google initial public offering.\\google 	 3
we will examine the means to bypass the router or firewall of the company.  this information is intended to help those who are 	 3
#147; no other dvds in the $500 price class can create such stunning, highly creative dvds as apple #146;s dvd studio pro 3, #148; 	 3
