sentence 	 label
danny bazil riley, after earning a ph.d. in sociology, doth now work as a general manager of a commercial real estate firm at $36,000 . 	 2
the japanese nuclear plant is to close up for security checks . 	 2
saudia said it would increase the oil market by one-third, to help the price of the commodity to fall . 	 2
the day of a manila consultant—a day in the life of a manila consultant— showing that you may speak of muddy walters, bluegrass and work , 	 2
autodesk's latest update to its hosted project collaboration service, which is aimed at construction and manufacturing, is now made available . 	 2
the national health service (nhs) hath hired gartner inc. to provide market information services as the health organisation shall determine . 	 2
i have a letter from the sec, and he hath given an interview to the mag, which the sec hath allowed the company to proceed . 	 2
ap—a russian cargo ship docked with the international space station on saturday, bringing food, water, fuel and other supplies to the two-man crew . 	 3
because the sciences have concluded that the rodents are no longer in danger, the list of candidates for the endangered species is removed . 	 3
on thursday, the fire-men say, they have been able to rescue a minke whale that hath washed ashore in the southeastern part of the state . 	 3
ap—the first time in north america, a red-legged falcon doth appear in the north . 	 3
this is something meteorologists say they have never seen, a tropical storm and a hurricane ’s a-gonna-be-a-hurricane; or 	 3
he uses diversified instruments to probe the vibrant waters of the pacific, including a screen and a screen, and a computer screen . 	 3
the authorities have bought time, and they have bought time, and they have bought time, and they have bought time, and they have bought time, and they have bought time, and they have bought time , 	 3
the article shows that the forty years' study of the us economy, which has shown that the country is growing, but many of the citizens are worse off . 	 3
i will submit a poem to the limericks, and so i will be bound to the limericks . 	 3
i never did release this code, but i have been busy with newsmonster and forgot it . 	 3
now, by the way, i do announce the release of the java.net source code; 	 3
a new bagel variant is coming forth on the internet . 	 3
nortel first hath made a notable wireless bargain with an indian . 	 3
a new motion-based software package is in the bundle . 	 3
this week, at sun microsystems, javalobby, and infravio have disclosed initiatives both in the java and web services . 	 3
as some e-mail experts raise doubts about the technology's ability to guard against spam, the microsoft-backed standard is swiftly moving to the microsoft-backed standard . 	 3
they partner with the greatest online, cinemanow, and ticketing, and they are the most famous . 	 3
worms, hackers, and other networked devices are at risk . 	 3
the state court hath ordered the toy “r’ us and amazon.com” to work together so the online retailer may comply with the order . 	 3
i think it is a good thing that the first of the world's search engines should be launched on thursday, for it will be the first that shall be launched . 	 3
yahoo's new toolbar, with the help of which you may banish unwanted spyware and tracking cookies 	 3
now, by the way, i have a letter from the two companies, and they have resolved to do me good 	 3
i do wish to be present at the time of the bidding, and to be present at the time of the bidding, i wish to be present at the time of the bidding . 	 3
this is the means to circumvent the access restrictions of the router or firewall of the company.  this is the means to circumvent the access restrictions of the router or firewall of the company . 	 3
no other dvds in the $500 price class can create such wondrous, highly creative dvds as apple #146;s dvd studio pro 3 , 	 3
in the new powerschools, they have augmented their knowledge of the new powerschool system and have augmented their development activities through peer networks . 	 3
in the first inning, the indians have scored four runs, and the minnesota twins have beaten them seven times in the first game of the season . 	 1
the men of the two countries have been best placed to qualify for the final of the men’s olympic eights, as the two sides have been engaged in a most desperate battle . 	 1
in visiting oakland’s 33, he was nine for fifteen for 69 yards, the 2002 nfl mvp that was knocked out of the raiders' defeat to kansas city . 	 1
the fastest time in the 200m freestyle is set by the fastest swimmer in the 200m . 	 0
the sheriff of santa barbara hath entreated the judge to discharge the results of the investigation into the treatment of michael jackson by the sheriff . 	 0
the negotiations between the two countries have been made in a manner that permits them to bargain a peace . 	 0
the journalist that was kidnapped in the field of iraq hath said he was beaten and tried to run away . 	 0
the first execution in nine years in india hath been condemned to hang a convicted rapist and a murderer of a schoolgirl . 	 0
they lived in heavily fortified compounds, guarded by tanks, and often wore full-body armor when they came to bosnia nearly a decade ago . 	 0
this week, the stock market will be in the midst of a doldrum, with rising oil prices and fears of the state and the prospect of earnings . 	 2
the third day of the tournament begins at the club’s golf-house, which is the third returning of the three finalists . 	 1
the thousands of u.s. troops in afghanistan may have failed to catch osama bin laden, but they were credit'd with urging millions of afghans to register for the country’s historic election . 	 0
the taliban may have failed in their attempt to strike at the u.s. troops in afghanistan, but they were credit'd with encouraging millions of afghans to register for the historic election . 	 0
the last time the band did play together was at a special festival in the us, where thousands of spectators were assembled . 	 0
in the men's four-score-fours freestyle final, michael phelps won eight golds in athens, and he was the first to win the gold medal in athens . 	 1
on sunday, the hurricane's 145 mph winds swept through the ruins of houses, and the inhabitants fled to the shelter of the church . 	 0
the vote was unprecedented, with thousands of people turning out in the streets to cast their ballots . 	 0
tomko's first win in nearly a month and help to win three games in a row, the first of which was a 3-1 triumph in the city of philadelphia on sunday . 	 1
in the eighth, in the eighth, in the eighth, in the eighth, in the eighth, in the eighth, in the eighth, in the eighth, in the eighth, in the eighth 	 1
the security council met in an emergency session on sunday, following the massacre of more than 150 tutsi in a camp in western burundi . 	 0
the quest for eight gold medals in the 400-meter freestyle relay is lost, and the americans have lost the best performance in the race . 	 1
it is like to prophesy the weather—an imperfect science . 	 2
the buffalo, after nineteen months of recuperation and many questions of his left knee, returned to play . 	 1
on sunday, the high-profile new democrats say they grow the pressure of their members in the government . 	 0
wal-mart, which hath been censured for its business practices, is working to improve the image of the store by public broadcasting . 	 2
this year, more than doubling, the private enterprise shall be more than double the expenditure . 	 3
