sentence 	 label
but blacks want royalty for plants that are native to africa 	 1
even though i'm a german and english 	 0
white power 2508 white power 2508 white power 	 0
stormfront ireland now exclusively the work of stormfront ireland . 	 1
it's not hard to do 	 0
arab military is so incompetent 	 1
i'm from slovenia...and i'm completely disgusted by all muslims in the world...and i'm disgusted by the dead 	 1
no matter what he presents, presents something to the american public that no one else offers.. . 	 0
our enemies use our enemies to discourage white voters to become a minority 	 0
and so, gerry dingleberry tries to kill the irish generation 	 0
the cop was white 	 0
st. petersburg, i only seen black on tv 	 0
niggas don't wait in line 	 1
war was always a popular subject 	 0
i'm afraid that you worried about the delay in your arrival - don't worry, it's just that we have to check your stuff when you're new 	 0
or a french football player? â¹ 	 0
started fighting back against the constant harassment we've been receiving 	 0
it doesn't hurt to know 	 0
just to give you another bump and call on anyone who care to meet up, please contact me 	 0
that's what i came to 	 0
in fact, i was responding to a swiss man who just started a thread 	 0
it's easy to solve 	 0
the chinese immigration is strictly gas 	 0
unfortunately i miss the 21st march but i'll be in the mail with a couple thousand copies of the white nationalist newspaper nationell idag on 23 march. â¦ 	 0
i'm from there. my family's there 	 0
the punch in the face is a punch in the face regardless where you are 	 0
i'm twenty five years old and i'm a 5-6-year-old, blond-haired, blue-eyed, 120 pound woman 	 0
it's a great thing to see that there's more than just one pro-white organization in san diego planning activities! â¡â� 	 0
i'll be smiling warm every year 	 0
if you need a little help, sister 	 0
and that's what it is . 	 0
#x202a; kenya - hacked to death by a panga before the film crew & #x202c; & rlm; 	 0
and so on, for example, population of estonia, latvia, lithuania, north russians . 	 0
yeah, i'm from edinburgh and i went to school with a lot of blacks and pakis and half of them don't speak english 	 0
my aunt is a teacher and she kicked a white girl out of school 	 0
there's danger signs, don't go beyond this point in the winter 	 0
a bunch of fools . 	 0
the media will praise and encourage the non-white establishment, while denigrating and degrading the white man's establishment . 	 0
if i had one i probably woulda been on the list 	 0
do you live in a particular neighborhood of crime? 	 0
hope they bring ebola to the rest of the world and spread it to the rest of them 	 1
hungary: war injustice!!! 	 0
the fact that they're trying to do the same thing as they do in ireland and britain and everywhere else 	 0
white owner of a jewelry store, john lauseng, shot and killed during a robbery 	 0
they just add muslims everywhere today 	 0
yeah, i seen a news report and they got a lot of ethnic background, which makes it happen in all communities 	 0
where did you go with the south jesery? 	 0
i thought i was 	 0
take it with a grain of salt when you see it 	 0
i wrote the last summer but had to cancel my trip 	 0
your brother is a great patriot, and i hope you find your way to our nation's heart 	 0
- the same video on the man's facebook page 	 0
the axis was the most popular nationalist here at stormfront, and the allies were also cultural marxists 	 0
but the idea of the camellia is so cool 	 0
my scientist can destroy your scientist any day 	 0
the neanderthals, who had the biggest brains of all humans, did it 	 0
to arrest a mother of a whore who's got a child to be born, she must be arrested and put in a nursery and arrested for not having more children 	 1
congressman mike honda it seems that our enemies introduce legislation that would restrict civilian access to certain types of body armor (iii) 	 0
he said if a person uses an ordinary bullet to practice and then switches to fmj bullets, he'll experience a deterioration 	 0
