sentence 	 label
#maga!!! #maga!!! #maga!!! 	 0
#user #user #user url #user # url #user # url #user # url #user # url #user # url 	 1
saved his body in the process but he's got a whole lotta money next year 	 0
all of these maga i'm following all of these maga i'm following all of these maga i'm following all of these maga i'm following all of these maga i'm following all of these maga i'm following all of 	 0
i know they can take him out of where he's hiding and protect him from harm 	 0
#user #user you don't know who he is, and you don't know who he is 	 0
you're so fine people on both sides, don't you know that antifa punched nazis 	 1
ilysm i love you today 	 0
prepared to testify - but there are some "red" - url #tcot #maga #rednationrising" 	 0
#user #user he's a russian troll 	 0
hope she tries to repair her image so she can be friendly to everyone 	 0
#user #user she tries to manipulate the canadian liberals 	 0
#user they embraced the antifa 	 1
#user #user take a second to realize that jimin is 22 and she's 39 	 0
i've never said that...you just say things to me in my mouth!  liberals are just suckers! 	 1
i feel the same way too anti-pernicky bastard disorder 	 1
#user need a gun control 	 0
#hadex incursion we are happy to welcome him! â¦ 	 0
the man is such a jerk, actin like a jerk 	 1
#user #user she's beautiful #user #user 	 0
#user #user #user #user #user #user #user #user #user #user #user #user #user #user 	 1
#maga #maga # let's get it on the url 	 0
user@user@user@user@user@user@user@user@user@user@user@ 	 0
i love him. he's mark twain 	 0
gotta remove him from his position and children are being abused 	 1
if he's so anxious to clear his name, he should ask dr. ford to take a lie detector test 	 0
no, they don't give a fuck what liberals from ca think 	 1
if he says he's a devil's agent, i'm fully on board! â¦ 	 1
#rules for radicals and #rules for radicals #rules for radicals #rules for radicals 	 0
#resist #antifa and #user fingerprints will be on this #resist #antifa and #user fingerprints 	 0
you're a sexy, perverse woman 	 1
if the cop had a gun, he couldn't attack the attackers 	 0
he's a victim of his abuser, and hides in the shadows of his family and friends 	 0
if i look at a woman's body, it's all about the fact that i'm looking at her body 	 0
#user #user #user he mocks the self-professed populists who claim to speak for the people . 	 1
nra #2a #molonlabe #gunsense #momsdemand #maga #wednesdaywisdom #wednesdaywisdom #wednesdaywisdom #wednesdaywisdom #wednesdaywisdom #wednesdaywisdom #wednesdaywisdom #wednesdayw 	 1
#user #user #user what's so crazy about today's liberals is that they're so stupid! 	 1
i wanna know if they better when they pretendin' to be bad about rape 	 1
#user #user just think... the man taught him.. . 	 0
#user blowing dirt and the misery of millions? 	 1
#user #user maybe the antifa can find a job and become a dream of america 	 0
i wanna vote for you but i don't worry about you 	 0
we're all gun control but one man can't change the problem 	 0
gun control - no guns if you're a liberal! 	 1
izlam ist es wird es wird es wird es wird 	 0
#redwaverising 2018. a platform for gun control? â¦ 	 0
#user in the fake emergency created by the conservatives 	 1
#user #user we need a big pharma lobby that can bribe the republicans like big pharma 	 1
he's a little funny, like when he says i can't see you when i smell you 	 0
democrat's always mean to us, and always lose their heads 	 1
#user #user #user #user #user #user #user #user #user #user # 	 0
#user tell your friends to come to #user 	 0
when she was a woman, she told me she was a hate crime 	 0
#user #user #user becca. she's too hard to do 	 0
how did you do it texas? 	 0
# we don't worry about americans seeing declassified documents, we conservatives like transparency that seems to be a dirty word to americans 	 0
- had a lovely visit with my mama 	 0
if you consider leaving the republican party, please reconsider 	 0
# donald trump # donald trump # donald trump # springfield # springfield # springfield # springfield # springfield # â¤ 	 0
#user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user #user # 	 0
now she thinks she can be political activist, just like she thinks she can 	 0
